"Name","Source","Page","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Kobold Scale Sorcerer","MPMM","165","Small","Humanoid","any alignment","15 (natural armor)","27 (5d6 + 10)","30 ft.","7","15","14","10","9","14","","Arcana +2, Medicine +1","","","","","Darkvision 60 ft., passive Perception 9","Common, Draconic","1 (XP 200; PB +2)","Pack Tactics. The kobold has advantage on an attack roll against a creature if at least one of the kobold's allies is within 5 feet of the creature and the ally isn't incapacitated.

Sunlight Sensitivity. While in sunlight, the kobold has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.","Multiattack. The kobold makes two Dagger or Chromatic Bolt attacks. It can replace one attack with a use of Spellcasting.

Dagger. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage.

Chromatic Bolt. Ranged Spell Attack: +4 to hit, range 60 feet, one target. Hit: 9 (2d6 + 2) of a type of the kobold's choice: acid, cold, fire, lightning, poison, or thunder.

Spellcasting. The kobold casts one of the following spells, requiring no material components and using Charisma as the spellcasting ability (spell save DC 12):

At will: mage hand, prestidigitation

2/day each: charm person, fog cloud, levitate","","","","","","","Forest, Hill, Mountain, Underdark, Urban",""
"Kupalué","ToA","35","Small","Plant","neutral","13 (natural armor)","9 (2d6 + 2)","30 ft.","7","14","13","6","11","7","","Perception +2, Stealth +4","","lightning, piercing","","","Darkvision 60 ft., passive Perception 12","Vegepygmy","1/4 (XP 50; PB +2)","Plant Camouflage. Kupalué has advantage on Dexterity (Stealth) checks it makes in any terrain with ample obscuring plant life.

Regeneration. Kupalué regains 3 hit points at the start of its turn. If it takes cold, fire, or necrotic damage, this trait doesn't function at the start of Kupalué's next turn. Kupalué dies only if it starts its turn with 0 hit points and doesn't regenerate.","Claws. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) slashing damage.

Sling. Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. Hit: 4 (1d4 + 2) bludgeoning damage.","","","","","","","",""
"Kwayothé","ToA","26","Medium","Humanoid (Human)","neutral evil","13 (chain shirt)","27 (5d8 + 5)","30 ft.","10","10","12","13","16","13","","Medicine +7, Persuasion +3, Religion +5","","","","","passive Perception 13","Any two languages","2 (XP 450; PB +2)","Divine Eminence. As a bonus action, Kwayothé can expend a spell slot to cause its melee weapon attacks to magically deal an extra 10 (3d6) radiant damage to a target on a hit. This benefit lasts until the end of the turn. If Kwayothé expends a spell slot of 2nd level or higher, the extra damage increases by 1d6 for each level above 1st.

Spellcasting. Kwayothé is a 5th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 13, +5 to hit with spell attacks). Kwayothé has the following cleric spells prepared:

Cantrips (at will): light, sacred flame, thaumaturgy

1st level (4 slots): cure wounds, guiding bolt, sanctuary

2nd level (3 slots): lesser restoration, spiritual weapon

3rd level (2 slots): dispel magic, spirit guardians","Mace. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 3 (1d6) bludgeoning damage.","","","","","","","",""
"Laskilar","ToA","67","Medium","Humanoid (Human)","neutral evil","15 (studded leather)","65 (10d8 + 20)","30 ft.","15","16","14","14","11","14","Str +4, Dex +5, Wis +2","Athletics +4, Deception +4","","","","","passive Perception 10","Any two languages","2 (XP 450; PB +2)","Special Equipment. Laskilar wears a cape of the mountebank.","Multiattack. Laskilar makes three melee attacks: two with its scimitar and one with its dagger. Or Laskilar makes two ranged attacks with its daggers.

Scimitar. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.

Dagger. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 5 (1d4 + 3) piercing damage.","","Parry. Laskilar adds 2 to its AC against one melee attack that would hit it. To do so, Laskilar must see the attacker and be wielding a melee weapon.","","","","","",""
"Liara Portyr","ToA","227","Medium","Humanoid (Human)","lawful evil","15 (studded leather, shield)","84 (13d8 + 26)","30 ft.","16","12","15","14","14","16","Con +4, Wis +4","Athletics +5, Deception +5, Insight +4, Intimidation +5","","","","","passive Perception 12","Common, Draconic, Dwarvish","4 (XP 1,100; PB +2)","Brave. Liara has advantage on saving throws against being frightened.

Flaming Fury. Once per turn, when Liara hits a creature with a melee weapon, she can cause fire to magically erupt from her weapon and deal an extra 10 (3d6) fire damage to the target.","Multiattack. Liara makes three melee attacks.

Battleaxe. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) slashing damage, or 8 (1d10 + 3) slashing damage when used with two hands.

Heavy Crossbow. Ranged Weapon Attack: +3 to hit, range 100/400 ft., one target. Hit: 6 (1d10 + 1) piercing damage.","","","","","","","",""
"Mantrap","ToA","227","Large","Plant","unaligned","12","45 (7d10 + 7)","5 ft.","15","14","12","1","10","2","","","","","","blinded, deafened, exhaustion, prone","Tremorsense 30 ft., passive Perception 10","—","1 (XP 200; PB +2)","Attractive Pollen (1/Day). When the mantrap detects any creatures nearby, it can use its reaction to release pollen out to a radius of 30 feet. Any beast or humanoid within the area must succeed on a DC 11 Wisdom saving throw or be forced to use all its movement on its turns to get as close to the the mantrap as possible. An affected target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.

False Appearance. While the mantrap remains motionless, it is indistinguishable from an ordinary tropical plant.","Engulf. Melee Weapon Attack: +4 to hit, reach 5 ft., one Medium or smaller creature. Hit: The target is trapped inside the mantrap's leafy jaws. While trapped in this way, the target is blinded and restrained, has total cover from an attacks and other effects outside the mantrap, and takes 14 (4d6) acid damage at the start of each of the target's turns. If the mantrap dies, the creature inside it is no longer restrained by it. A mantrap can engulf only one creature at a time.","","","","","","","",""
"Musharib","ToA","34","Medium","Humanoid (Dwarf)","lawful good","13 (hide armor)","30 (4d8 + 12)","25 ft.","13","13","17","12","14","11","","Perception +4, Stealth +3, Survival +4","","poison","","","Darkvision 60 ft., passive Perception 14","Common, Dwarvish","1 (XP 200; PB +2)","Dwarven Resilience. Musharib has advantage on saving throws against poison.

Innate Spellcasting. Musharib's innate spellcasting ability is Wisdom. It can innately cast the following spells, requiring no material components:

1/day each: hunter's mark, jump, pass without trace, speak with animals, speak with plants","Handaxe. Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d6 + 1) slashing damage.","","","","","","","",""
"Mwaxanaré","ToA","228","Medium","Humanoid (Human)","lawful neutral","10","13 (3d8)","30 ft.","6","10","11","13","12","16","","Deception +5, Nature +3, Persuasion +5, Religion +3","","","","","passive Perception 11","Auran, Common, telepathy 30 ft.","1/8 (XP 25; PB +2)","Spellcasting. Mwaxanaré is a 2nd-level spellcaster. Her spellcasting ability is Charisma (spell save DC 13, +5 to hit with spell attacks). She regains her expended spell slots when she finishes a short or long rest. She knows the following warlock spells:

Cantrips (at will): eldritch blast, mage hand

1st level (2 slots): charm person, protection from evil and good, unseen servant","Dagger. Melee or Ranged Weapon Attack: +2 to hit. reach 5 ft. or range 20/60 ft., one target. Hit: 2 (1d4) piercing damage.","","","","","","","",""
"Na","ToA","228","Small","Humanoid (Human)","neutral","10","3 (1d6)","30 ft.","10","10","10","10","10","10","","","","","","","passive Perception 10","Common","0 (XP 10; PB +2)","","","","","","","","","",""
"Nanny Pu'pu","ToA","72","Medium","Fey","neutral evil","17 (natural armor)","82 (11d8 + 33)","30 ft.","18","12","16","13","14","14","","Arcana +3, Deception +4, Perception +4, Stealth +3","","","","","Darkvision 60 ft., passive Perception 14","Common, Draconic, Sylvan","3 (XP 700, or 1,800 when part of a coven; PB +2)","Amphibious. Pu'pu can breathe air and water.

Innate Spellcasting. Pu'pu's innate spellcasting ability is Charisma (spell save DC 12). She can innately cast the following spells, requiring no material components:

At will: dancing lights, minor illusion, vicious mockery

Mimicry. Pu'pu can mimic animal sounds and humanoid voices. A creature that hears the sounds can tell they are imitations with a successful DC 14 Wisdom (Insight) check.","Claws. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) slashing damage.

Illusory Appearance. Pu'pu covers herself and anything she is wearing or carrying with a magical illusion that makes her look like another creature of her general size and humanoid shape. The illusion ends if Pu'pu takes a bonus action to end it or if she dies.

The changes wrought by this effect fail to hold up to physical inspection. For example, Pu'pu could appear to have smooth skin, but someone touching her would feel her rough flesh. Otherwise, a creature must take an action to visually inspect the illusion and succeed on a DC 20 Intelligence (Investigation) check to discern that Pu'pu is disguised.

Invisible Passage. Pu'pu magically turns invisible until she attacks or casts a spell, or until her concentration ends (as if concentrating on a spell). While invisible, she leaves no physical evidence of her passage, so she can be tracked only by magic. Any equipment she wears or carries is invisible with her.","","","","","","","",""
"Niles Breakbone","ToA","47","Medium","Humanoid (Human)","lawful good","15 (breastplate)","9 (2d8)","30 ft.","11","12","11","12","14","16","","Deception +5, Insight +4, Persuasion +5","","","","","passive Perception 12","Any two languages","1/8 (XP 25; PB +2)","","Rapier. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 5 (1d8 + 1) piercing damage.","","Parry. Niles adds 2 to its AC against one melee attack that would hit it. To do so, Niles must see the attacker and be wielding a melee weapon.","","","","","",""
"Orvex Ocrammas","ToA","96","Medium","Humanoid (Human)","neutral","12","27 (6d8)","30 ft.","10","15","10","12","14","16","","Deception +5, Insight +4, Investigation +5, Perception +6, Persuasion +5, Sleight of Hand +4, Stealth +4","","","","","passive Perception 16","Common, Grung","1 (XP 200; PB +2)","Cunning Action. On each of its turns, Orvex can use a bonus action to take the Dash, Disengage, or Hide action.

Sneak Attack (1/Turn). Orvex deals an extra 7 (2d6) damage when it hits a target with a weapon attack and has advantage on the attack roll, or when the target is within 5 feet of an ally of Orvex that isn't incapacitated and Orvex doesn't have disadvantage on the attack roll.","Multiattack. Orvex makes two melee attacks.

Shortsword. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage.

Hand Crossbow. Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage.","","","","","","","",""
"Pterafolk","ToA","229","Large","Monstrosity","neutral evil","12 (natural armor)","26 (4d10 + 4)","30 ft., Fly 50 ft.","15","13","12","9","10","11","","Perception +2, Survival +2","","","","","passive Perception 12","Common","1 (XP 200; PB +2)","Terror Dive. If the pterafolk is flying and dives at least 30 feet straight toward a target, and then hits that target with a melee weapon attack, the target is frightened until the end of its next turn.","Multiattack. The pterafolk makes three attacks: one with its bite and two with its claws. Alternatively, it makes two melee attacks with its javelin.

Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) piercing damage.

Claw. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) slashing damage.

Javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 9 (2d6 + 2) piercing damage.","","","","","","","",""
"Qawasha","ToA","35","Medium","Humanoid (Human)","neutral good","11 (16 with barkskin)","27 (5d8 + 5)","30 ft.","10","12","13","12","15","11","","Medicine +4, Nature +3, Perception +4","","","","","passive Perception 14","Druidic plus any two languages","2 (XP 450; PB +2)","Spellcasting. Qawasha is a 4th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). It has the following druid spells prepared:

Cantrips (at will): druidcraft, produce flame, shillelagh

1st level (4 slots): entangle, longstrider, speak with animals, thunderwave

2nd level (3 slots): animal messenger, barkskin","Quarterstaff. Melee Weapon Attack: +2 to hit (+4 to hit with shillelagh), reach 5 ft., one target. Hit: 3 (1d6) bludgeoning damage, 4 (1d8) bludgeoning damage if wielded with two hands, or 6 (1d8 + 2) bludgeoning damage with shillelagh.","","","","","","","",""
"Quetzalcoatlus","MPMM","96","Huge","Beast (Dinosaur)","unaligned","13 (natural armor)","30 (4d12 + 4)","10 ft., Fly 80 ft.","15","13","13","2","10","5","","Perception +2","","","","","passive Perception 12","—","2 (XP 450; PB +2)","Flyby. The quetzalcoatlus doesn't provoke an opportunity attack when it flies out of an enemy's reach.","Bite. Melee Weapon Attack: +4 to hit, reach 10 ft., one creature. Hit: 12 (3d6 + 2) piercing damage. If the quetzalcoatlus flew least 30 feet toward the target immediately before the hit, the target takes an extra 10 (3d6) piercing damage.","","","","","","","Coastal, Hill, Mountain",""
"Ras Nsi","ToA","230","Medium","Monstrosity (Shapechanger, Yuan-Ti)","neutral evil","15 (bracers of defense)","127 (17d8 + 51) reduced to 107; subtract 1 for each day that passes during the adventure","30 ft.","17","16","17","18","18","21","Con +6, Wis +7","Deception +8, Persuasion +8, Religion +7, Stealth +6","","","poison","poisoned","Darkvision 60 ft., passive Perception 14","Abyssal, Common, Draconic","7 (XP 2,900; PB +3)","Special Equipment. Ras Nsi wears bracers of defense, wields a flame tongue longsword, and carries a sending stone matched to the one carried by the guide Salida (see chapter 1).

Shapechanger. Ras Nsi can use his action to polymorph into a Medium snake or back into his yuan-ti form. His statistics are the same in each form. Any equipment he is wearing or carrying isn't transformed. He doesn't change form if he dies.

Innate Spellcasting. Ras Nsi's innate spellcasting ability is Charisma (spell save DC 16). He can innately cast the following spells, requiring no material components:

At will: animal friendship (snakes only)

3/day: suggestion

Magic Resistance. Ras Nsi has advantage on saving throws against spells and other magical effects.

Spellcasting. Ras Nsi is an 11th-level spellcaster. His spellcasting ability is Intelligence (spell save DC 15, +7 to hit with spell attacks).

Ras Nsi has the following wizard spells prepared:

Cantrips (at will): chill touch, fire bolt, mage hand, mending, poison spray

1st level (4 slots): expeditious retreat, false life, magic missile, shield

2nd level (3 slots): blindness/deafness, hold person, misty step

3rd level (3 slots): animate dead, counterspell, fireball

4th level (3 slots): blight, polymorph

5th level (2 slots): contact other plane, geas

6th level (1 slot): create undead","Multiattack. Ras Nsi makes three melee attacks, but can use Constrict only once.

Bite (Snake Form Only). Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) piercing damage plus 7 (2d6) poison damage.

Constrict. Melee Weapon Attack: +6 to hit, reach 5 ft., one creature. Hit: 10 (2d6 + 3) bludgeoning damage, and the target is grappled (escape DC 14). Until this grapple ends, the target is restrained, and Ras Nsi can't constrict another target.

Flame Tongue Longsword (Yuan-ti Form Only). Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) slashing damage, or 8 (1d10 + 3) slashing damage when used with two hands, plus 7 (2d6) fire damage.","","","","","","","",""
"River Mist","ToA","35","Medium","Humanoid (Tabaxi)","chaotic good","14 (leather armor)","40 (9d8)","30 ft., Climb 20 ft.","10","17","11","13","14","15","","Athletics +2, Perception +4, Stealth +5, Survival +6","","","","","Darkvision 60 ft., passive Perception 14","Common plus any one language","1 (XP 200; PB +2)","Feline Agility. When River Mist moves on its turn in combat, it can double its speed until the end of the turn. Once it uses this ability, River Mist can't use it again until it moves 0 feet on one of its turns.","Multiattack. River Mist makes two attacks with its claws, its shortsword, or its shortbow.

Claws. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) slashing damage.

Shortsword. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.

Shortbow. Ranged Weapon Attack: +5 to hit, range 80/320 ft., one target. Hit: 6 (1d6 + 3) piercing damage.","","","","","","","",""
"Salida","ToA","35","Medium","Humanoid (Yuan-Ti)","neutral evil","11","40 (9d8)","30 ft.","11","12","11","13","12","14","","Deception +6, Perception +3, Stealth +3, Survival +5","","","poison","poisoned","Darkvision 60 ft., passive Perception 13","Abyssal, Common, Draconic","1 (XP 200; PB +2)","Innate Spellcasting. Salida's spellcasting ability is Charisma (spell save DC 12). Salida can innately cast the following spells, requiring no material components:

At will: animal friendship (snakes only)

3/day each: poison spray, suggestion

Magic Resistance. Salida has advantage on saving throws against spells and other magical effects.","Multiattack. Salida makes two melee attacks.

Scimitar. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) slashing damage.

Shortbow. Ranged Weapon Attack: +3 to hit, range 80/320 ft., one target. Hit: 4 (1d6 + 1) piercing damage plus 7 (2d6) poison damage.","","","","","","","",""
"Shago","ToA","35","Medium","Humanoid (Human)","chaotic good","16 (studded leather, shield)","112 (15d8 + 45)","30 ft.","18","15","16","10","12","15","Str +7, Dex +5, Con +6","Athletics +10, Intimidation +5, Survival +7","","","","","passive Perception 11","Any one language (usually Common)","5 (XP 1,800; PB +3)","Brave. Shago has advantage on saving throws against being frightened.

Brute. A melee weapon deals one extra die of its damage when Shago hits with it (included in the attack).","Multiattack. Shago makes three melee attacks or two ranged attacks.

Spear. Melee or Ranged Weapon Attack: +7 to hit, reach 5 ft. and range 20/60 ft., one target. Hit: 11 (2d6 + 4) piercing damage, or 13 (2d8 + 4) piercing damage if used with two hands to make a melee attack.

Shield Bash. Melee Weapon Attack: +7 to hit, reach 5 ft., one creature. Hit: 9 (2d4 + 4) bludgeoning damage. If the target is a Medium or smaller creature, it must succeed on a DC 15 Strength saving throw or be knocked prone.","","Parry. Shago adds 3 to its AC against one melee attack that would hit it. To do so, Shago must see the attacker and be wielding a melee weapon.","","","","","",""
"Stegosaurus","MPMM","96","Huge","Beast (Dinosaur)","unaligned","13 (natural armor)","76 (8d12 + 24)","40 ft.","20","9","17","2","11","5","","","","","","","passive Perception 10","—","4 (XP 1,100; PB +2)","","Tail. Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 26 (6d6 + 5) piercing damage.","","","","","","","Forest, Grassland",""
"Stone Juggernaut","ToA","231","Large","Construct","unaligned","15 (natural armor)","157 (15d10 + 75)","50 ft. (in one direction chosen at the start of its turn)","16","12","15","14","14","16","","","","","poison; bludgeoning, piercing, and slashing from nonmagical attacks not made with adamantine weapons","blinded, charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned, prone","Blindsight 120 ft., passive Perception 10","—","12 (XP 8,400; PB +4)","Devastating Roll. The juggernaut can move through the space of a prone creature. A creature whose space the juggernaut enters for the first time on a turn must make a DC 17 Dexterity saving throw, taking 55 (10d10) bludgeoning damage on a failed save, or half as much damage on a successful one.

Immutable Form. The juggernaut is immune to any spell or effect that would alter its form.

Regeneration. As long as it has 1 hit point left, the juggernaut magically regains all its hit points daily at dawn. The juggernaut is destroyed and doesn't regenerate if it drops to 0 hit points.

Siege Monster. The juggernaut deals double damage to objects and structures.","Slam. Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 25 (3d12 + 6) bludgeoning damage. If the target is a Large or smaller creature, it must succeed on a DC 17 Strength saving throw or be knocked prone.","","","","","","","",""
"Su-monster","ToA","232","Medium","Monstrosity","chaotic evil","12","27 (5d8 + 5)","30 ft., Climb 30 ft.","14","15","12","9","13","9","","Athletics +6, Perception +3","","","","","passive Perception 13","—","1 (XP 200; PB +2)","","Multiattack. The su-monster makes two attacks: one with its bite and one with its claws.

Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage.

Claws. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) slashing damage, or 12 (4d4 + 2) slashing damage if the su-monster is hanging by its tail and all four of its limbs are free.

Psychic Crush (Recharge 5–6). The su-monster targets one creature it can see within 30 feet of it. The target must succeed on a DC 11 Wisdom saving throw or take 17 (5d6) psychic damage and be stunned for 1 minute. The stunned target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","","","","","","","",""
"Syndra Silvane","ToA","8","Medium","Humanoid (Human)","lawful neutral","12 (15 with mage armor)","99 (18d8 + 18)","30 ft.","10","14","12","20","15","16","Int +9, Wis +6","Arcana +13, History +13","","damage from spells; nonmagical bludgeoning, piercing, and slashing (from stoneskin)","","","passive Perception 12","Common, Dwarvish, Elvish, Halfling","12 (XP 8,400; PB +4)","Magic Resistance. Syndra has advantage on saving throws against spells and other magical effects.

Spellcasting. Syndra is an 18th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 17, +9 to hit with spell attacks). Syndra can cast disguise self and invisibility at will and has the following wizard spells prepared:

Cantrips (at will): fire bolt, light, mage hand, prestidigitation, shocking grasp

1st level (4 slots): detect magic, identify, mage armor*, magic missile

2nd level (3 slots): detect thoughts, mirror image, misty step

3rd level (3 slots): counterspell, fly, lightning bolt

4th level (3 slots): banishment, fire shield, stoneskin*

5th level (3 slots): cone of cold, scrying, wall of force

6th level (1 slot): globe of invulnerability

7th level (1 slot): teleport

8th level (1 slot): mind blank*

9th level (1 slot): time stop

*Syndra casts these spells on itself before combat.","Dagger. Melee or Ranged Weapon Attack: +6 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage.","","","","","","","",""
"Tabaxi Hunter","ToA","232","Medium","Humanoid (Tabaxi)","chaotic good","14 (leather armor)","40 (9d8)","30 ft., Climb 20 ft.","10","17","11","13","14","15","","Athletics +2, Perception +4, Stealth +5, Survival +6","","","","","Darkvision 60 ft., passive Perception 14","Common plus any one language","1 (XP 200; PB +2)","Feline Agility. When the tabaxi moves on its turn in combat, it can double its speed until the end of the turn. Once it uses this ability, the tabaxi can't use it again until it moves 0 feet on one of its turns.","Multiattack. The tabaxi makes two attacks with its claws, its shortsword, or its shortbow.

Claws. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) slashing damage.

Shortsword. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.

Shortbow. Ranged Weapon Attack: +5 to hit, range 80/320 ft., one target. Hit: 6 (1d6 + 3) piercing damage.","","","","","","","",""
"Tabaxi Minstrel","ToA","233","Medium","Humanoid (Tabaxi)","chaotic good","12","22 (5d8)","30 ft., Climb 20 ft.","10","15","11","14","12","16","","Perception +3, Performance +7, Persuasion +5, Stealth +4","","","","","Darkvision 60 ft., passive Perception 13","Common plus any two languages","1/4 (XP 50; PB +2)","Feline Agility. When the tabaxi moves on its turn in combat, it can double its speed until the end of the turn. Once it uses this ability, the tabaxi can't use it again until it moves 0 feet on one of its turns.

Inspire (1/Day). While taking a short rest, the tabaxi can spend 1 minute singing, playing an instrument, telling a story, or reciting a poem to soothe and inspire creatures other than itself. Up to five creatures of the tabaxi's choice that can see and hear its performance gain 8 temporary hit points at the end of the tabaxi's short rest.","Multiattack. The tabaxi makes two claws attacks or two dart attacks.

Claws. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) slashing damage.

Dart. Ranged Weapon Attack: +4 to hit, range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage.","","","","","","","",""
"Thorny Vegepygmy","MPMM","253","Medium","Plant","neutral","14 (natural armor)","27 (5d8 + 5)","30 ft.","13","12","13","2","10","6","","Perception +4, Stealth +3","","lightning, piercing","","","Darkvision 60 ft., passive Perception 14","—","1 (XP 200; PB +2)","Plant Camouflage. The thorny has advantage on Dexterity (Stealth) checks it makes in any terrain with ample obscuring vegetation.

Regeneration. The thorny regains 5 hit points at the start of its turn. If it takes cold, fire, or necrotic damage, this trait doesn't function at the start of the thorny's next turn. The thorny dies only if it starts its turn with 0 hit points and doesn't regenerate.

Thorny Body. At the start of its turn, the thorny deals 2 (1d4) piercing damage to any creature grappling it.","Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 10 (2d8 + 1) piercing damage.","","","","","","","Forest, Swamp",""
"Tri-flower Frond","ToA","234","Medium","Plant","unaligned","10","11 (2d8 + 2)","5 ft.","14","15","12","9","13","9","","","","","","blinded, deafened, exhaustion, prone","Blindsight 30 ft., passive Perception 10","—","1/2 (XP 100; PB +2)","","Multiattack. The tri-flower frond uses its orange blossom, then its yellow blossom, and then its red blossom.

Orange Blossom. The tri-flower frond chooses one creature it can see within 5 feet of it. The target must succeed on a DC 11 Constitution saving throw or be poisoned for 1 hour. While poisoned in this way, the target is unconscious. At the end of each minute, the poisoned target can repeat the saving throw, ending the effect on itself on a success.

Yellow Blossom. The tri-flower frond chooses one creature it can see within 5 feet of it. The target must succeed on a DC 11 Dexterity saving throw, or it is covered with corrosive sap and takes 5 acid damage at the start of each of its turns. Dousing the target with water reduces the acid damage by 1 point per pint or flask of water used.

Red Blossom. Melee Weapon Attack: +2 to hit, reach 5 ft., one creature. Hit: 2 (1d4) piercing damage, and the target is grappled (escape DC 11). Until this grapple ends, the target takes 5 (2d4) poison damage at the start of each of its turns. The red blossom can grapple only one target at a time. Another creature within reach of the tri-flower frond can use its action to end the grapple on the target.","","","","","","","",""
"Tyrannosaurus Zombie","ToA","241","Huge","Undead","unaligned","11 (natural armor)","136 (13d12 + 52)","40 ft.","25","6","19","1","3","5","","","","","poison","poisoned","Darkvision 60 ft., passive Perception 6","—","8 (XP 3,900; PB +3)","Disgorge Zombie. As a bonus action, the tyrannosaurus zombie can disgorge a normal zombie, which appears in an unoccupied space within 10 feet of it. The disgorged zombie acts on its own initiative count. After a zombie is disgorged, roll a d6. On a roll of 1, the tyrannosaurus zombie runs out of zombies to disgorge and loses this trait. If the tyrannosaurus zombie still has this trait when it dies, 1d4 normal zombies erupt from its corpse at the start of its next turn. These zombies act on their own initiative count.

Undead Fortitude. If damage reduces the tyrannosaurus zombie to 0 hit points, it must make a Constitution saving throw with a DC of 5+the damage taken, unless the damage is radiant or from a critical hit. On a success, the zombie drops to 1 hit point instead.","Multiattack. The tyrannosaurus zombie makes two attacks: one with its bite and one with its tail. It can't make both attacks against the same target.

Bite. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 33 (4d12 + 7) piercing damage. If the target is a Medium or smaller creature, it is grappled (escape DC 17). Until this grapple ends, the target is restrained and the tyrannosaurus zombie can't bite another target or disgorge zombies.

Tail. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 20 (3d8 + 7) bludgeoning damage.","","","","","","","",""
